classification,visual_type,attribute_key,theme_style_variants,theme_values,theme_pointers,catalog_count,catalog_style_variants,catalog_dominant_value,catalog_sample_value,catalog_sample_source,match_status
only_in_scans,advancedSlicerVisual,accentBar[id=interaction:rest].show,,,,3,Style 2;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=interaction:rest].transparency,,,,5,Style 2;Style 3;Style 4;Style 6,100,100,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,accentBar[id=selection:selected].transparency,,,,8,Style 1;Style 5,0,0,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,background[id=interaction:hover].show,,,,5,Style 2;Style 3;Style 4;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,border.show,,,,3,Style 2;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,border.width,,,,5,Style 2;Style 3;Style 4;Style 6,1,1,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,fillCustom[id=default].show,,,,10,Style 1;Style 3;Style 4;Style 5,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,fillCustom[id=interaction:hover].fillColor.solid.color,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,"ThemeDataColor(ColorId=3,Percent=-0.25)","ThemeDataColor(ColorId=3,Percent=-0.25)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,fillCustom[id=interaction:hover].show,,,,3,Style 2;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,fillCustom[id=interaction:hover].transparency,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,25,25,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,layout.cellPadding,,,,4,Style 2;Style 3;Style 6,0,2,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,layout.columnCount,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,3,3,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,layout.maxTiles,,,,4,Style 2;Style 3;Style 6,10,10,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,layout.orientation,,,,5,Style 2;Style 3;Style 4;Style 6,1,2,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,layout.rowCount,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,1,1,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,outline[id=default].show,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,overFlow.overFlowDirection,,,,5,Style 2;Style 3;Style 4;Style 6,0,1,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,overFlow.overFlowStyle,,,,1,Style 3,1,1,3.Sample Files/Spend Cube.Report/definition/pages/c6c944f6f8cefed2eb4d/visuals/9b5ec1cb10fd9624e712/visual.json,n/a
only_in_scans,advancedSlicerVisual,selection.restrictToLeafNodes,,,,5,Style 2;Style 3;Style 4;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,selection.selectAllCheckboxEnabled,,,,5,Style 2;Style 3;Style 4;Style 6,true,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,selection.singleSelect,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,selection.strictSingleSelect,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,selectionIcon.show,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,shadowCustom[id=default].show,,,,2,Style 2,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1727c31ca7e81a638716/visuals/61308f61c133dccad754/visual.json,n/a
only_in_scans,advancedSlicerVisual,shapeCustomRectangle[id=default].rectangleRoundedCurveCustomStyle,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,shapeCustomRectangle[id=default].tileShape,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,rectangleRoundedByPixel,rectangleRoundedByPixel,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,title.show,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,title.text,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,Slicer - Calendar Year,Slicer - Calendar Year,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,title.titleWrap,,,,5,Style 2;Style 3;Style 4;Style 6,true,true,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/8a6bd4e9ee22c1423803/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=default].horizontalAlignment,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,center,center,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].bold,,,,10,Style 1;Style 3;Style 4;Style 5,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].fontColor.solid.color,,,,10,Style 1;Style 3;Style 4;Style 5,"ThemeDataColor(ColorId=8,Percent=-0.5)","ThemeDataColor(ColorId=8,Percent=-0.5)",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].fontFamily,,,,10,Style 1;Style 3;Style 4;Style 5,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif","''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].fontSize,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,14,14,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].transparency,,,,10,Style 1;Style 3;Style 4;Style 5,0,0,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:hover].underline,,,,13,Style 1;Style 2;Style 3;Style 4;Style 5;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/02604e232e37ce8027cd/visuals/59cc9da5c4d0f55695a5/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:rest].bold,,,,3,Style 2;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:rest].fontColor.solid.color,,,,3,Style 2;Style 6,"ThemeDataColor(ColorId=8,Percent=-0.25)","ThemeDataColor(ColorId=8,Percent=-0.25)",3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:rest].fontFamily,,,,3,Style 2;Style 6,"''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif","''Segoe UI Semibold'', wf_segoe-ui_semibold, helvetica, arial, sans-serif",3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
only_in_scans,advancedSlicerVisual,value[id=interaction:rest].italic,,,,3,Style 2;Style 6,false,false,3.Sample Files/Spend Cube.Report/definition/pages/1374d8c3ba887ae4c02c/visuals/ada85ff105c703939409/visual.json,n/a
